task,model,modification,rows,effective_rows,metric,metric2
sa,claude-3-5-sonnet,active_to_passive_100,100,100,0.88,
sa,claude-3-5-sonnet,capitalization_100,99,99,0.9595959595959596,
sa,claude-3-5-sonnet,casual_100,100,100,0.95,
sa,claude-3-5-sonnet,compound_word_100,95,95,0.9473684210526315,
sa,claude-3-5-sonnet,concept_replacement_100,100,100,0.94,
sa,claude-3-5-sonnet,coordinating_conjunction_100,100,100,0.94,
sa,claude-3-5-sonnet,derivation_100,87,87,0.9540229885057471,
sa,claude-3-5-sonnet,dialectal_100,102,102,0.9117647058823529,
sa,claude-3-5-sonnet,discourse_100,99,99,0.8484848484848485,
sa,claude-3-5-sonnet,geographical_bias_100,100,100,0.92,
sa,claude-3-5-sonnet,grammatical_role_100,66,66,0.9242424242424242,
sa,claude-3-5-sonnet,length_bias_100,100,100,0.94,
sa,claude-3-5-sonnet,negation_100,96,96,0.7604166666666666,
sa,claude-3-5-sonnet,punctuation_100,100,100,0.93,
sa,claude-3-5-sonnet,sentiment_100,100,100,0.9,
sa,claude-3-5-sonnet,sst2,872,872,,
sa,claude-3-5-sonnet,temporal_bias_100,100,100,0.94,
sa,claude-3-5-sonnet,typo_bias_100,100,100,0.95,
sa,unknown,unknown,18,18,,
sa,unknown,unknown,872,872,,
sa,deepseek-r1,active_to_passive_100,100,100,0.91,
sa,deepseek-r1,capitalization_100,99,99,0.9494949494949495,
sa,deepseek-r1,casual_100,100,100,0.95,
sa,deepseek-r1,compound_word_100,95,95,0.9368421052631579,
sa,deepseek-r1,concept_replacement_100,100,100,0.89,
sa,deepseek-r1,coordinating_conjunction_100,100,100,0.94,
sa,deepseek-r1,derivation_100,87,87,0.9310344827586207,
sa,deepseek-r1,dialectal_100,102,102,0.9313725490196079,
sa,deepseek-r1,discourse_100,99,99,0.8787878787878788,
sa,deepseek-r1,geographical_bias_100,100,100,0.88,
sa,deepseek-r1,grammatical_role_100,66,66,0.9242424242424242,
sa,deepseek-r1,length_bias_100,100,100,0.0,
sa,deepseek-r1,negation_100,96,96,0.78125,
sa,deepseek-r1,punctuation_100,100,100,0.95,
sa,deepseek-r1,sentiment_100,100,100,0.0,
sa,deepseek-r1,sst2,5,5,,
sa,deepseek-r1,temporal_bias_100,100,100,0.93,
sa,deepseek-r1,typo_bias_100,100,100,0.96,
sa,gpt-5-standard,active_to_passive_100,100,100,0.91,
sa,gpt-5-standard,capitalization_100,99,99,0.9595959595959596,
sa,gpt-5-standard,casual_100,100,100,0.94,
sa,gpt-5-standard,compound_word_100,95,95,0.9578947368421052,
sa,gpt-5-standard,concept_replacement_100,100,100,0.95,
sa,gpt-5-standard,coordinating_conjunction_100,100,100,0.95,
sa,gpt-5-standard,derivation_100,87,87,0.9425287356321839,
sa,gpt-5-standard,dialectal_100,102,102,0.9215686274509803,
sa,gpt-5-standard,discourse_100,99,99,0.9090909090909091,
sa,gpt-5-standard,geographical_bias_100,100,100,0.92,
sa,gpt-5-standard,grammatical_role_100,66,66,0.9393939393939394,
sa,gpt-5-standard,length_bias_100,100,100,0.96,
sa,gpt-5-standard,negation_100,96,96,0.8125,
sa,gpt-5-standard,punctuation_100,100,100,0.95,
sa,gpt-5-standard,sentiment_100,100,100,0.92,
sa,gpt-5-standard,sst2,872,872,,
sa,gpt-5-standard,temporal_bias_100,100,100,0.96,
sa,gpt-5-standard,typo_bias_100,100,100,0.96,
sa,unknown,unknown,18,18,,
sa,gpt-5-standard-context-aware,active_to_passive_100,100,100,0.93,
sa,gpt-5-standard-context-aware,capitalization_100,99,99,0.9595959595959596,
sa,gpt-5-standard-context-aware,casual_100,100,100,0.94,
sa,gpt-5-standard-context-aware,compound_word_100,95,95,0.968421052631579,
sa,gpt-5-standard-context-aware,concept_replacement_100,100,100,0.96,
sa,gpt-5-standard-context-aware,coordinating_conjunction_100,100,100,0.97,
sa,gpt-5-standard-context-aware,derivation_100,87,87,0.9425287356321839,
sa,gpt-5-standard-context-aware,dialectal_100,102,102,0.9313725490196079,
sa,gpt-5-standard-context-aware,discourse_100,99,99,0.898989898989899,
