index,negation_subtype,original_answer,original_pred_num,modified_pred_num,original_correct,modified_correct_inversion,flip,original_pred,modified_pred
8,negation_approximate,45,45.0,45.0,True,True,False,45.0,45.0
25,negation_verbal,2,2.0,3.0,True,True,False,2.0,3.0
40,negation_lexical,8,8.0,8.0,True,False,True,8.0,8.0
40,negation_lexical,8,8.0,2.0,True,True,False,8.0,2.0
56,negation_double,3,3.0,42.0,True,False,True,3.0,42.0
63,negation_lexical,1596,159.0,176.0,False,True,True,159.0,176.0
72,negation_absolute,221,221.0,92.0,True,True,False,221.0,92.0
81,negation_absolute,17,17.0,26.0,True,True,False,17.0,26.0
84,negation_lexical,15,15.0,7.0,True,True,False,15.0,7.0
89,negation_double,24,18.0,24.0,False,True,True,18.0,24.0
103,negation_approximate,140,140.0,140.0,True,True,False,140.0,140.0
109,negation_verbal,28,28.0,28.0,True,False,True,28.0,28.0
114,negation_double,6,6.0,6.0,True,True,False,6.0,6.0
153,negation_double,48,48.0,48.0,True,True,False,48.0,48.0
153,negation_double,48,48.0,33.0,True,False,True,48.0,33.0
196,negation_approximate,120,120.0,120.0,True,True,False,120.0,120.0
239,negation_absolute,280,280.0,700.0,True,True,False,280.0,700.0
243,negation_absolute,250,250.0,550.0,True,True,False,250.0,550.0
247,negation_absolute,32,32.0,27.0,True,True,False,32.0,27.0
256,negation_absolute,45,45.0,43.0,True,True,False,45.0,43.0
263,negation_lexical,8,8.0,2.0,True,True,False,8.0,2.0
292,negation_verbal,75,75.0,75.0,True,False,True,75.0,75.0
295,negation_absolute,370,370.0,170.0,True,True,False,370.0,170.0
308,negation_absolute,6,6.0,4.0,True,True,False,6.0,4.0
309,negation_approximate,8,8.0,8.0,True,True,False,8.0,8.0
