model,modification,original_acc,modified_acc,pct_diff,weighted_delta,wilcoxon_pvalue,mannwhitney_pvalue,pvalue,significance,significant
claude,absolute,10.714,10.714,0.0,0.0,,1.0,1.0,ns,False
claude,double,7.143,7.143,0.0,0.0,,1.0,1.0,ns,False
claude,lexical,11.538,11.538,0.0,0.0,,1.0,1.0,ns,False
claude,verbal,10.714,10.714,0.0,0.0,,1.0,1.0,ns,False
claude,approximate,7.143,7.143,0.0,0.0,,1.0,1.0,ns,False
deepseek-r1-deepseek,absolute,7.143,7.143,0.0,0.0,,1.0,1.0,ns,False
deepseek-r1-deepseek,double,7.143,7.143,0.0,0.0,,1.0,1.0,ns,False
deepseek-r1-deepseek,lexical,7.692,7.692,0.0,0.0,1.0,1.0,1.0,ns,False
deepseek-r1-deepseek,verbal,7.143,3.571,-50.0,-1.525,0.317,0.571,0.317,ns,False
deepseek-r1-deepseek,approximate,7.143,7.143,0.0,0.0,,1.0,1.0,ns,False
gpt-5-standard,absolute,7.143,7.143,0.0,0.0,,1.0,1.0,ns,False
gpt-5-standard,double,7.143,7.143,0.0,0.0,,1.0,1.0,ns,False
gpt-5-standard,lexical,7.692,7.692,0.0,0.0,,1.0,1.0,ns,False
gpt-5-standard,verbal,7.143,7.143,0.0,0.0,,1.0,1.0,ns,False
gpt-5-standard,approximate,7.143,7.143,0.0,0.0,,1.0,1.0,ns,False
gpt4o,absolute,17.857,17.857,0.0,0.0,,1.0,1.0,ns,False
gpt4o,double,14.286,14.286,0.0,0.0,,1.0,1.0,ns,False
gpt4o,lexical,19.231,19.231,0.0,0.0,,1.0,1.0,ns,False
gpt4o,verbal,17.857,17.857,0.0,0.0,,1.0,1.0,ns,False
gpt4o,approximate,14.286,14.286,0.0,0.0,,1.0,1.0,ns,False
llama,absolute,14.286,14.286,0.0,0.0,,1.0,1.0,ns,False
llama,double,14.286,14.286,0.0,0.0,,1.0,1.0,ns,False
llama,lexical,15.385,15.385,0.0,0.0,,1.0,1.0,ns,False
llama,verbal,14.286,14.286,0.0,0.0,,1.0,1.0,ns,False
llama,approximate,7.143,7.143,0.0,0.0,,1.0,1.0,ns,False
