model,negation_type,original_mean_f1,modified_mean_f1,mean_f1_pct_change,sample_size,p_value,significance
claude,verbal,0.478391356542617,0.4648526077097505,-2.830057158789897,28,0.5929800980174267,ns
claude,lexical,0.4818573583279465,0.4501831501831501,-6.573357778473382,26,0.3173105078629141,ns
claude,double,0.438095238095238,0.4698412698412698,7.246376811594215,14,0.6547208460185769,ns
claude,approximate,0.438095238095238,0.4857142857142856,10.869565217391305,14,0.3173105078629141,ns
claude,absolute,0.4627450980392157,0.4617246898759504,-0.2205119335869967,28,0.6547208460185769,ns
llama,verbal,0.5213180726836188,0.5170612184267646,-0.8165560489666204,28,0.9669173678668048,ns
llama,lexical,0.5145330160036042,0.5159316174022056,0.2718195635849297,26,0.3173105078629141,ns
llama,double,0.457312925170068,0.4819160997732426,5.379942977562916,14,0.5929800980174267,ns
llama,approximate,0.4882653061224489,0.4144557823129252,-15.116684082201306,14,0.1088094300405456,ns
llama,absolute,0.4937670522754556,0.4897653000594177,-0.8104534714490216,28,0.8657723749926214,ns
gpt4o,verbal,0.522750766973456,0.5055249372476263,-3.295228015744727,28,0.8886378608950078,ns
gpt4o,lexical,0.5176632191338073,0.5353205617911501,3.4109710724451965,26,0.4652088184521418,ns
gpt4o,double,0.4870181405895691,0.5703514739229025,17.110930043068333,14,0.1441270348160153,ns
gpt4o,approximate,0.4957482993197278,0.5302721088435374,6.963979416809604,14,0.2850494074026127,ns
gpt4o,absolute,0.4999616513271975,0.4461402742915347,-10.76510106180917,28,0.3742593192802244,ns
GPT2,absolute,0.491031412565026,0.5334133653461385,8.631210080780711,28,0.11585149752593,ns
GPT2,double,0.5602140856342537,0.524499799919968,-6.375113841318593,14,0.6547208460185769,ns
GPT2,lexical,0.4627774186597717,0.4252693385046326,-8.104993597951351,26,0.3454475304692257,ns
GPT2,verbal,0.5129701880752301,0.5141956782713085,0.2389008610182043,28,0.946589353771582,ns
GPT2,approximate,0.5727891156462585,0.5744897959183675,0.2969121140142812,14,0.6547208460185769,ns
BERT,absolute,0.6003016591251885,0.5534413765506203,-7.806122448979577,28,0.1380107375686595,ns
BERT,double,0.6477991196478591,0.6377651060424169,-1.548939061679592,14,0.5929800980174267,ns
BERT,lexical,0.5790794424278587,0.5936775893789469,2.5209230170360977,26,0.4652088184521418,ns
BERT,verbal,0.6247914550435558,0.5745713670083418,-8.037896105943556,28,0.1441270348160153,ns
BERT,approximate,0.6566457352171637,0.6328362114076399,-3.625931386221465,14,0.3173105078629141,ns
T5,absolute,0.5404188948306595,0.5719581772102781,5.836080618443478,28,0.1281901743451078,ns
T5,double,0.5381673881673882,0.4473356009070294,-16.877980579549163,14,0.1148496092632861,ns
T5,lexical,0.5038371758959994,0.5094322344322344,1.11048942077071,26,0.4981940565841087,ns
T5,verbal,0.5324823868941516,0.5497952444381016,3.2513483957529385,28,0.7353166906373405,ns
T5,approximate,0.5737116058544629,0.5538267288267288,-3.46600571172312,14,0.6547208460185769,ns
