model,modification,original_acc,modified_acc,pct_diff,wilcoxon_pvalue,mannwhitney_pvalue,pvalue,significance,significant
bert,grammatical_role,0.939,0.894,-4.8,0.0832645166635504,0.3490589487570521,0.0832645166635504,.,False
bert,temporal_bias,0.92,0.89,-3.3,0.17971249487899976,0.47198509327102633,0.17971249487899976,ns,False
bert,length_bias,0.9,0.91,1.1,0.5637028616507731,0.8117668570523625,0.5637028616507731,ns,False
bert,sentiment,0.87,0.86,-1.1,0.8185458083820434,0.8380865601102542,0.8185458083820434,ns,False
bert,dialectal,0.89,0.86,-3.4,0.25683925795785656,0.5236763651590871,0.25683925795785656,ns,False
bert,compound_word,0.947,0.916,-3.3,0.0832645166635504,0.39156865377084304,0.0832645166635504,.,False
bert,punctuation,0.91,0.9,-1.1,0.31731050786291415,0.8117668570523625,0.31731050786291415,ns,False
bert,negation,0.938,0.771,-17.8,0.0006467491225764764,0.0011101389040730344,0.0006467491225764764,**,True
bert,coordinating_conjunction,0.92,0.93,1.1,0.5637028616507731,0.7909227822010564,0.5637028616507731,ns,False
bert,derivation,0.954,0.92,-3.6,0.0832645166635504,0.35325346863904583,0.0832645166635504,.,False
bert,capitalization,0.929,0.929,0.0,1.0,1.0,1.0,ns,False
bert,active_to_passive,0.92,0.85,-7.6,0.019630657257290667,0.12223899907783986,0.019630657257290667,*,True
bert,casual,0.96,0.89,-7.3,0.019630657257290667,0.061226656915216754,0.019630657257290667,*,True
bert,concept_replacement,0.9,0.88,-2.2,0.4142161782425253,0.6537209762319763,0.4142161782425253,ns,False
bert,discourse,0.889,0.879,-1.1,0.5637028616507731,0.8266512509534925,0.5637028616507731,ns,False
bert,typo_bias,0.9,0.86,-4.4,0.04550026389635839,0.3864687429651166,0.04550026389635839,*,True
bert,geographical_bias,0.87,0.86,-1.1,0.6547208460185769,0.8380865601102542,0.6547208460185769,ns,False
gpt2,grammatical_role,0.879,0.879,0.0,1.0,1.0,1.0,ns,False
gpt2,temporal_bias,0.9,0.85,-5.6,0.025347318677468252,0.2872216810116117,0.025347318677468252,*,True
gpt2,length_bias,0.9,0.9,0.0,1.0,1.0,1.0,ns,False
gpt2,sentiment,0.88,0.8,-9.1,0.04550026389635839,0.12423280594720984,0.04550026389635839,*,True
gpt2,dialectal,0.88,0.86,-2.3,0.5637028616507731,0.6764098418887313,0.5637028616507731,ns,False
gpt2,compound_word,0.958,0.916,-4.4,0.15729920705028502,0.2353406485291034,0.15729920705028502,ns,False
gpt2,punctuation,0.94,0.92,-2.1,0.15729920705028502,0.5822356012669514,0.15729920705028502,ns,False
gpt2,negation,0.896,0.771,-14.0,0.007290358091535638,0.020573635320613477,0.007290358091535638,**,True
gpt2,coordinating_conjunction,0.91,0.91,0.0,1.0,1.0,1.0,ns,False
gpt2,derivation,0.874,0.862,-1.4,0.6547208460185769,0.8253863576971782,0.6547208460185769,ns,False
gpt2,capitalization,0.919,0.909,-1.1,0.5637028616507731,0.8022218816712998,0.5637028616507731,ns,False
gpt2,active_to_passive,0.89,0.85,-4.5,0.2059032107320684,0.4026871626321662,0.2059032107320684,ns,False
gpt2,casual,0.91,0.92,1.1,0.7388826803635273,0.8022881040498031,0.7388826803635273,ns,False
gpt2,concept_replacement,0.89,0.85,-4.5,0.10247043485974941,0.4026871626321662,0.10247043485974941,ns,False
gpt2,discourse,0.859,0.838,-2.4,0.4142161782425253,0.6940143560309975,0.4142161782425253,ns,False
gpt2,typo_bias,0.88,0.9,2.3,0.31731050786291415,0.6537209762319763,0.31731050786291415,ns,False
gpt2,geographical_bias,0.89,0.85,-4.5,0.04550026389635839,0.4026871626321662,0.04550026389635839,*,True
t5,grammatical_role,0.955,0.924,-3.2,0.15729920705028502,0.4707339067932701,0.15729920705028502,ns,False
t5,temporal_bias,0.94,0.91,-3.2,0.0832645166635504,0.4233091813305673,0.0832645166635504,.,False
t5,length_bias,0.97,0.94,-3.1,0.0832645166635504,0.30899876831281614,0.0832645166635504,.,False
t5,sentiment,0.91,0.93,2.2,0.5637028616507731,0.604890024211644,0.5637028616507731,ns,False
t5,dialectal,0.93,0.85,-8.6,0.0046777349810472576,0.07167787258801223,0.0046777349810472576,**,True
t5,compound_word,0.979,0.947,-3.3,0.0832645166635504,0.25084942325568205,0.0832645166635504,.,False
t5,punctuation,0.93,0.93,0.0,1.0,1.0,1.0,ns,False
t5,negation,0.958,0.708,-26.1,9.633570086430965e-07,3.596229968744437e-06,9.633570086430965e-07,**,True
t5,coordinating_conjunction,0.95,0.96,1.1,0.31731050786291415,0.7362374382775687,0.31731050786291415,ns,False
t5,derivation,0.977,0.954,-2.4,0.15729920705028502,0.4100555269880384,0.15729920705028502,ns,False
t5,capitalization,0.949,0.939,-1.1,0.5637028616507731,0.7593441002143024,0.5637028616507731,ns,False
t5,active_to_passive,0.91,0.9,-1.1,0.7388826803635273,0.8117668570523625,0.7388826803635273,ns,False
