key,side,num_constraints,num_satisfied,compliance_rate,strict_success,eval_text,constraints_json
2449,original,2,2,100.0,1,"#!/bin/bash

# YO LISTEN UP THIS SCRIPT AIN'T PLAYIN'
# QUICK AND DIRTY FILE SNATCHING IS WHAT I'M SAYIN'

if [ $# -eq 0 ]; then
    echo ""YO FOOL WHERE'S THE URL AT?!""
    echo ""USAGE: $0 <directory_url>""
    exit 1
fi

directory_url=$1

echo ""BOUT TO SNATCH EVERY SINGLE FILE""
echo ""QUIET DOWN AND WATCH ME GO THE EXTRA MILE!""

# GET READY FOR THE DOWNLOAD SPREE
wget -r -np -nd -q --no-check-certificate ""$directory_url""

if [ $? -eq 0 ]; then
    echo ""BOOM! GRABBED ALL THEM FILES LIKE A BOSS!""
    echo ""NOW QUIT YOUR WHINING - THE JOB IS DONE YO!""
else
    echo ""YO SOMETHING WENT WRONG - THIS AIN'T RIGHT!""
    echo ""CHECK YOUR URL AND TRY AGAIN TONIGHT!""
fi

# END OF THE RAP - DROP THE MIC
exit 0","[{""constraint_id"": ""punctuation:no_comma"", ""passed"": true}, {""constraint_id"": ""keywords:letter_frequency"", ""passed"": true}]"
1233,original,2,2,100.0,1,"In 2000, the tallest skyscraper was the Petronas Towers in Kuala Lumpur, Malaysia. These twin skyscrapers stood at 1,483 feet (452 meters). The skyscraper held this record until 2004 when Taipei 101 became the world's tallest skyscraper. The Petronas skyscraper complex consists of two identical skyscrapers connected by a sky bridge. This iconic skyscraper project was completed in 1998 and remained the tallest skyscraper in the world for nearly six years. These magnificent skyscrapers showcased Malaysia's economic growth and architectural capabilities. The skyscraper's design incorporated Islamic geometric patterns, reflecting the country's cultural heritage. Is there anything else I can help with?","[{""constraint_id"": ""startend:end_checker"", ""passed"": true}, {""constraint_id"": ""keywords:frequency"", ""passed"": true}]"
332,original,2,1,50.0,0,"TLDR the article ""How to dress like a football manager: waistcoats and the style lessons from the Premier League"". Your entire response (including the repeated request) should have 45 or less words.

Premier League managers' style ranges from casual tracksuits to sharp suits. Key trends include waistcoats, technical outerwear, and smart-casual combinations. Comfort and practicality remain essential while maintaining professional appearance.","[{""constraint_id"": ""combination:repeat_prompt"", ""passed"": true}, {""constraint_id"": ""length_constraints:number_words"", ""passed"": false}]"
2328,original,1,1,100.0,1,"""Memory Vault"" - Preserving Today's Moments for Tomorrow's Discovery

We're revolutionizing the way people preserve and share their legacy through our innovative preservation service. Our team helps individuals, families, and organizations curate and protect their most precious memories, artifacts, and messages for future generations.

Here's how it works:
- Select a custom preservation period (10-100 years)
- Choose from our climate-controlled, museum-grade storage vessels
- Fill your vessel with personal items, letters, photos, or digital media
- We secure and maintain your collection in our state-of-the-art facility
- Recipients receive notification when it's time for unveiling

Our proprietary preservation technology ensures your items remain pristine for decades. Each vessel is equipped with smart sensors monitoring temperature, humidity, and structural integrity, providing real-time updates through our secure app.

Market opportunity:
- $12B heritage preservation industry
- 78% of millennials interested in legacy planning
- Growing demand for experiential gifting
- Expanding corporate anniversary market

We've already partnered with three Fortune 500 companies and have a waiting list of 1,500 individual customers. With $2M in pre-orders, we're seeking $5M in Series A funding to scale operations and expand our preservation facility.

Join us in building bridges across generations and creating moments of wonder for the future.

Investment opportunity available now.","[{""constraint_id"": ""keywords:forbidden_words"", ""passed"": true}]"
3281,original,2,2,100.0,1,"Dear Search Committee:

I am writing to express my strong interest in the Assistant Professor position at your institution. As a recent PhD graduate with extensive research and teaching experience I am excited about the opportunity to contribute to your department's academic excellence.

My research focuses on [specific field] and I have published several peer-reviewed articles in leading journals. My teaching philosophy emphasizes student engagement critical thinking and hands-on learning experiences. Through my experience as an instructor I have developed effective methods to foster an inclusive classroom environment.

I am particularly drawn to your institution's commitment to innovation and interdisciplinary collaboration. My research agenda aligns well with your department's strategic goals and I am eager to develop new courses that will benefit your students.

I have attached my CV teaching statement and research proposal. I would welcome the opportunity to discuss how my expertise and vision align with your department's needs.

Thank you for considering my application.

Sincerely
[Your Name]

******

Dear Members of the Search Committee:

I am thrilled to apply for the Assistant Professor position in your department. My academic background research accomplishments and teaching experience make me an ideal candidate for this role.

During my doctoral studies I developed expertise in [specific area] which directly complements your department's research priorities. My work has resulted in multiple publications and conference presentations. I am excited about the prospect of establishing a vibrant research program at your institution.

What particularly attracts me to your university is its strong emphasis on both research excellence and undergraduate education. I have demonstrated success in mentoring students through research projects and creating engaging learning environments. My teaching evaluations reflect my dedication to student success.

I look forward to the possibility of joining your faculty and contributing to your department's continued growth. Please find my complete application materials attached.

Best regards
[Your Name]","[{""constraint_id"": ""combination:two_responses"", ""passed"": true}, {""constraint_id"": ""punctuation:no_comma"", ""passed"": true}]"
2752,original,1,1,100.0,1,"The opposite of youth is not age, but *disengagement from life* and *loss of curiosity*. True youth is characterized by enthusiasm, wonder, and an eagerness to learn and experience new things. When we lose these qualities - regardless of our chronological age - we lose our youthful spirit.","[{""constraint_id"": ""detectable_format:number_highlighted_sections"", ""passed"": true}]"
1825,original,3,3,100.0,1,"• GANs are deep learning architecture consisting of two neural networks competing against each other

• The first network (Generator) creates fake data based on random input

• The second network (Discriminator) tries to identify real data from fake data

• Both networks improve through continuous competition making the output more realistic

• The Generator aims to produce data of such high quality that it fools the Discriminator

• The Discriminator's performance improves as it learns to detect subtle differences

• Common applications include creating realistic images art music and video

• The model learns through unsupervised training without human intervention

• Areas lacking in current GAN development include stability and convergence

• The basic architecture involves feedback loops between both networks

• Training requires careful balance to prevent one network from dominating

• Modern GANs can create photorealistic faces landscapes and artistic styles

• Key challenges include mode collapse and training instability

• The quality of output depends heavily on training data selection

• Recent improvements focus on progressive growing and style manipulation

P.P.S. GANs represent one of the most significant breakthroughs in generative AI despite their challenges","[{""constraint_id"": ""punctuation:no_comma"", ""passed"": true}, {""constraint_id"": ""detectable_content:postscript"", ""passed"": true}, {""constraint_id"": ""keywords:existence"", ""passed"": true}]"
1658,original,2,2,100.0,1,"""JOHN DOE
123 University Drive, College Town, ST 12345
johndoe@email.com | (555) 123-4567

EDUCATION
State University
Bachelor of Science in Computer Science
Expected Graduation: May 2025
GPA: 3.7/4.0

TECHNICAL SKILLS
Programming Languages: Python, Java, HTML, CSS
Software: Visual Studio Code, Eclipse, Git
Operating Systems: Windows, macOS, Linux

PROJECTS
Student Management System (2023)
• Developed a Python-based application to manage student records and course enrollment
• Implemented database functionality using SQLite
• Created user-friendly interface with Tkinter

Weather Application (2022)
• Built a Java application that fetches and displays real-time weather data
• Utilized REST APIs for data collection
• Implemented error handling and data validation

EXTRACURRICULAR ACTIVITIES
Computer Science Club
• Active member since 2021
• Participated in coding competitions and hackathons
• Collaborated with peers on group programming projects

CERTIFICATIONS
• Introduction to Python Programming (Coursera)
• Java Fundamentals (CodeAcademy)

VOLUNTEER EXPERIENCE
Code Mentor (2022-Present)
• Tutored high school students in basic programming concepts
• Organized weekly coding workshops
• Assisted in developing learning materials for beginners

LANGUAGES
• English (Native)
• Spanish (Intermediate)

INTERESTS
• Open-source software development
• Artificial Intelligence
• Mobile app development""","[{""constraint_id"": ""startend:quotation"", ""passed"": true}, {""constraint_id"": ""keywords:existence"", ""passed"": true}]"
2439,original,3,3,100.0,1,"Punched in the gut by a [suspect] the officer stumbled backward into his patrol car. He managed to regain balance while maintaining a firm grip on the evidence bag containing stolen jewelry.


The police force excels at understanding complex patterns within criminal networks. Their ability to detect subtle connections helps them prevent future crimes through strategic operations based on gathered intelligence.


Daily operations at [precinct_number] demonstrate how law enforcement personnel master the art of collecting various forms of data. They expertly handle everything from fingerprints to digital footprints while building comprehensive case files that support successful prosecutions.","[{""constraint_id"": ""punctuation:no_comma"", ""passed"": true}, {""constraint_id"": ""length_constraints:nth_paragraph_first_word"", ""passed"": true}, {""constraint_id"": ""detectable_content:number_placeholders"", ""passed"": true}]"
288,original,1,1,100.0,1,"Is ballistics (the study of the motion of projectiles) an actual science?

Yes, ballistics is a legitimate scientific field that combines principles from physics, mathematics, and engineering. It is a branch of mechanics that deals with the launching, flight behavior, and impact of projectiles. Ballistics can be divided into several sub-fields:

1. Internal ballistics - studies what happens inside a firearm when fired
2. External ballistics - examines the flight path of projectiles through air
3. Terminal ballistics - analyzes the impact of projectiles on targets

The science of ballistics is used in many applications, including:
- Military and defense technology
- Forensic science and criminal investigations
- Aerospace engineering
- Sports science
- Hunting and shooting sports

Ballistics involves complex calculations and considerations of various factors like gravity, air resistance, wind, temperature, and atmospheric pressure. It is taught at universities and is the subject of ongoing research and development.","[{""constraint_id"": ""combination:repeat_prompt"", ""passed"": true}]"
