task,model,modification,original_text,modified_text,original_pred,modified_pred,original_correct,modified_correct,performance,original_reasoning,modified_reasoning,original_step_by_step_reasoning,modified_step_by_step_reasoning,file,row_index,original_clusters,modified_clusters
coref,gpt2,active_to_passive_100,The campers turned on their flashlights because it was dark without them.,The flashlights were turned on by the campers because it was dark without them.,1,1,True,True,both_correct,,,,,active_to_passive_predictions.csv,0,1,1
coref,gpt2,active_to_passive_100,The board of directors reviewed the findings of the scientists to determine funding because they are interested in the potential profits for the company.,The findings of the scientists were reviewed by the board of directors to determine funding because they are interested in the potential profits for the company.,0,0,True,True,both_correct,,,,,active_to_passive_predictions.csv,1,0,0
coref,gpt2,active_to_passive_100,The birds ate the seeds because they were tasty.,The seeds were eaten by the birds because they were tasty.,1,1,True,True,both_correct,,,,,active_to_passive_predictions.csv,4,1,1
coref,gpt2,active_to_passive_100,Michael Phelps was fined by Judge Louis because he was caught with illegal drugs.,A fine was imposed on Michael Phelps by Judge Louis because illegal drugs had been found with him.,0,0,True,True,both_correct,,,,,active_to_passive_predictions.csv,5,0,0
coref,gpt2,active_to_passive_100,"Shatterstar attempts to kill Arcade, but he only destroys a robotic double.","An attempt is made by Shatterstar to kill Arcade, but a robotic double is only destroyed by him.",1,1,True,True,both_correct,,,,,active_to_passive_predictions.csv,7,1,1
coref,gpt2,active_to_passive_100,"The team shredded the report, so that it could rewrite a new one.","The report was shredded by the team, so that a new one could be rewritten by it.",0,0,True,True,both_correct,,,,,active_to_passive_predictions.csv,8,0,0
coref,gpt2,active_to_passive_100,Joe raced against Steven because he thought it would be easy.,The race was run by Joe against Steven because he thought it would be easy.,0,0,True,True,both_correct,,,,,active_to_passive_predictions.csv,11,0,0
coref,gpt2,active_to_passive_100,"Megan accidentally fires a shot that injures Barbara, but she shoots Larry dead.","A shot is accidentally fired by Megan that injures Barbara, but Larry is shot dead by her.",0,0,True,True,both_correct,,,,,active_to_passive_predictions.csv,12,0,0
coref,gpt2,active_to_passive_100,A chicken pecked at a bug and it ran away.,A bug was pecked at by a chicken and it was made to run away.,1,1,True,True,both_correct,,,,,active_to_passive_predictions.csv,13,1,1
coref,gpt2,active_to_passive_100,Battlefield 3 is more fun than Modern Warfare 3 because it is a crappy game.,Battlefield 3 is considered more fun than Modern Warfare 3 because it is perceived as a crappy game.,1,1,True,True,both_correct,,,,,active_to_passive_predictions.csv,16,1,1
coref,gpt2,active_to_passive_100,The ghost entered the house because it was haunting.,The house was entered by the ghost because it was being haunted.,0,1,True,True,both_correct,,,,,active_to_passive_predictions.csv,18,0,1
coref,gpt2,active_to_passive_100,Bob can beat Larry at arm wrestling because he has more muscles.,Larry can be beaten at arm wrestling by Bob because he has more muscles.,0,0,True,True,both_correct,,,,,active_to_passive_predictions.csv,22,0,0
coref,gpt2,active_to_passive_100,"Olivia wants to make amends with Emily, but she is apprehensive.","Amends are wanted to be made with Emily by Olivia, but she is apprehensive.",0,0,True,True,both_correct,,,,,active_to_passive_predictions.csv,26,0,0
coref,gpt2,active_to_passive_100,The pen is mightier than the sword because it can be used to write world-changing documents.,The pen is considered mightier than the sword because world-changing documents can be written with it.,0,0,True,True,both_correct,,,,,active_to_passive_predictions.csv,30,0,0
coref,gpt2,active_to_passive_100,Steven Seagal challenged Jean Claude Van Damme to a fight because he wanted to prove he was the stronger man.,Jean Claude Van Damme was challenged to a fight by Steven Seagal because he wanted to prove he was the stronger man.,0,0,True,True,both_correct,,,,,active_to_passive_predictions.csv,31,0,0
coref,gpt2,active_to_passive_100,"Krishna agreed and let Rukmi go free, but not before having his head shaved as a visible sign of a warrior's defeat.","Rukmi was let go free by Krishna, but not before having his head shaved as a visible sign of a warrior's defeat.",1,1,True,True,both_correct,,,,,active_to_passive_predictions.csv,37,1,1
