text,original_text,modified_label,original_label,modified_pred,original_pred,raw_output,reasoning,original_raw_output,original_reasoning,modification_type,modification_description,type,id
"As the two leads, Lathan and Diggs are seen as charming and are perceived to have chemistry both as friends and lovers.","as the two leads, lathan and diggs are charming and have chemistry both as friends and lovers.",1,1,1,1,1,,1,,active_to_passive,transformed from active to passive voice,active_to_passive,0
A story of interest with a message that is pertinent (cinematically unique) was told fairly well and scored to perfection; it was found by me that there was a struggle to put my finger on that elusive'missing thing.',"an interesting story with a pertinent (cinematically unique) message, told fairly well and scored to perfection, i found myself struggling to put my finger on that elusive `` missing thing. ''",1,1,1,1,1,"**Analyzing sentiment**

I need to assess the sentiment of the provided text, which is written in passive voice. The instructions specify to output a binary result of either 0 or 1 based on sentiment. The text describes the story as interesting and well-crafted but indicates a struggle with an unspecified missing element. I interpret that the positive aspects outweigh the critique, which suggests a positive sentiment classification. Thus, I'll respond with ""1"" and ensure that's the only thing included.",1,"**Classifying sentiment**

I'm looking at a text to classify it as negative or positive sentiment. It mentions an interesting story and unique message, which are positive, but there's a hint of uncertainty about something missing. Overall, it seems mildly positive. In sentiment datasets, this would likely be considered positive. So, despite the struggle expressed, I think it's safe to classify it. I’ll format the output strictly as ""1"" for positive sentiment, just like the instructions say!",active_to_passive,transformed from active to passive voice,active_to_passive,1
A literate presentation that is wonderfully woven from a murderous event in 1873 with murderous rage in 2002.,a literate presentation that wonderfully weaves a murderous event in 1873 with murderous rage in 2002.,1,1,1,1,1,"**Analyzing sentiment**

I need to focus on analyzing sentiment and return only 0 or 1. The text mentions a ""literate presentation"" and uses the phrase ""wonderfully woven,"" which are positive descriptors, despite the serious topic of murder in both 1873 and 2002. This indicates a positive sentiment, so that means I should return 1. The presence of ""murderous"" doesn't automatically imply negativity here. Ultimately, I’ll just output ""1.""",1,1,active_to_passive,transformed from active to passive voice,active_to_passive,2
At least one scene is so disgusting that it may be hard for viewers to be pressed hard enough to retain their lunch.,at least one scene is so disgusting that viewers may be hard pressed to retain their lunch.,0,0,0,0,0,0,0,"**Classifying sentiment**

I need to assign a sentiment value of 0 for negative or 1 for positive. Looking at the given text, it describes a scene that's so disgusting that viewers might struggle to keep their lunch down. That clearly indicates a negative sentiment. So, my answer here has to be 0. The instruction is clear: I should only respond with either 0 or 1. Therefore, I'll just say ""0.""",active_to_passive,transformed from active to passive voice,active_to_passive,3
A compliment is being given to Kuras and Miller.,that is a compliment to kuras and miller.,1,1,1,1,1,,1,"**Classifying sentiment**

I need to determine the sentiment of the text snippet, which mentions ""that is a compliment to."" Compliments are typically seen as positive, so I can conclude that the sentiment is indeed positive. Therefore, the answer should be 1. I’ll keep it concise and avoid any extra words—just providing the sentiment score of 1.",active_to_passive,transformed from active to passive voice,active_to_passive,4
The character of Zigzag is not developed sufficiently for a film to be constructed around him.,the character of zigzag is not sufficiently developed to support a film constructed around him.,0,0,0,0,0,"**Analyzing sentiment**

I’m looking closely at a sentence: ""The character of Zigzag is not developed sufficiently for a film to be constructed around him."" This clearly expresses a negative sentiment, as it's a criticism about the character's development. Therefore, I’ll assign it a score of 0. I need to keep my response straightforward, just stating 0 as instructed. Alright, that’s all done!",0,"**Classifying sentiment**

I'm focusing on sentiment classification, and I’ve got a text that says, ""the character of zigzag is not sufficiently developed to support a film constructed around him."" That definitely leans negative, so I should classify it as a ""0."" It’s essential that my answer is binary, so I need to ensure I only provide a ""0"" or ""1."" In this case, it’ll be ""0.""",active_to_passive,transformed from active to passive voice,active_to_passive,5
Too much of it is felt to be unfocused and underdeveloped.,too much of it feels unfocused and underdeveloped.,0,0,0,0,0,,0,"I'm set to perform sentiment analysis and provide a simple output of either 0 or 1. The text I’m analyzing seems negative since it feels unfocused and underdeveloped, so I’ll go with 0. The instructions are clear: I only need to provide the numeral without extra text or commentary. I’m just delivering that response—making sure I keep it straightforward. So, it looks like I’ll output 0.",active_to_passive,transformed from active to passive voice,active_to_passive,6
"Thanks to Scott's charismatic portrayal of Roger and Eisenberg's portrayal of the sweet nephew, Roger Dodger is considered to be one of the most compelling variations on'In the Company of Men'.","thanks to scott's charismatic roger and eisenberg's sweet nephew, roger dodger is one of the most compelling variations on in the company of men.",1,1,1,1,1,,1,,active_to_passive,transformed from active to passive voice,active_to_passive,7
"The quality of it is reminiscent of a lesser Harrison Ford movie - perhaps Six Days, Seven Nights, or that dreadful Sabrina remake.","it's of the quality of a lesser harrison ford movie - six days, seven nights, maybe, or that dreadful sabrina remake.",0,0,0,0,0,"**Classifying sentiment**

I need to classify the sentiment of the provided text. The phrase mentions ""lesser"" and ""dreadful,"" indicating negative sentiment. Thus, the answer should be 0. The user directive is clear: I should respond with just the number 0 for negative sentiment and no extra words. It's a straightforward binary classification without any formatting needed. Great, I'm all set to provide the answer.",0,0,active_to_passive,transformed from active to passive voice,active_to_passive,8
A sequence of shoot -'em - up scenes that are ridiculous.,a sequence of ridiculous shoot - 'em - up scenes.,0,0,0,0,0,"I'm focusing on outputting either 0 or 1 based on the sentiment analysis of the given text. The analysis indicates that the sentiment is negative due to the description of ""shoot-'em-up scenes"" as ridiculous. Therefore, I'll conclude that the output should be ""0."" There's also a note about a shift from active to passive voice, but that's irrelevant here. So, to keep it simple, the answer is just ""0"" and nothing more!",0,"**Determining sentiment value**

I need to decide how to classify sentiment based on the given text. It mentions a “sequence of ridiculous shoot-'em-up scenes,” which sounds pretty negative. The word “ridiculous” suggests a negative tone, so I conclude that this is a negative critique. Therefore, I’ll be outputting 0 for negative sentiment. Now, to keep it simple and follow the instruction, I’ll just return ""0"".",active_to_passive,transformed from active to passive voice,active_to_passive,9
