model,modification,original_acc,modified_acc,pct_diff,wilcoxon_pvalue,mannwhitney_pvalue,pvalue,significance,significant
bert-base-cased,absolute,0.75,0.625,-16.7,0.317,0.648,0.317,ns,False
bert-base-cased,approximate,0.484,0.419,-13.3,0.527,0.618,0.527,ns,False
bert-base-cased,double,0.6,0.6,0.0,1.0,1.0,1.0,ns,False
bert-base-cased,lexical,0.5,0.458,-8.3,0.655,0.784,0.655,ns,False
bert-base-cased,verbal,0.55,0.6,9.1,0.655,0.764,0.655,ns,False
claude-3-5-sonnet,absolute,0.875,0.875,0.0,1.0,1.0,1.0,ns,False
claude-3-5-sonnet,approximate,0.677,0.774,14.3,0.317,0.402,0.317,ns,False
claude-3-5-sonnet,double,0.667,0.667,0.0,1.0,1.0,1.0,ns,False
claude-3-5-sonnet,lexical,0.917,0.833,-9.1,0.317,0.398,0.317,ns,False
claude-3-5-sonnet,verbal,0.85,0.6,-29.4,0.059,0.083,0.059,.,False
gpt2,absolute,0.625,0.875,40.0,0.317,0.295,0.295,ns,False
gpt2,approximate,0.516,0.452,-12.5,0.48,0.62,0.48,ns,False
gpt2,double,0.467,0.533,14.3,0.564,0.738,0.564,ns,False
gpt2,lexical,0.542,0.458,-15.4,0.317,0.576,0.317,ns,False
gpt2,verbal,0.45,0.45,0.0,1.0,1.0,1.0,ns,False
gpt4o,absolute,0.875,1.0,14.3,0.317,0.382,0.317,ns,False
gpt4o,approximate,0.774,0.645,-16.7,0.157,0.271,0.157,ns,False
gpt4o,double,0.733,0.667,-9.1,0.564,0.715,0.564,ns,False
gpt4o,lexical,0.833,0.792,-5.0,0.564,0.726,0.564,ns,False
gpt4o,verbal,0.9,0.6,-33.3,0.014,0.032,0.014,*,True
llama,absolute,0.625,0.875,40.0,0.157,0.295,0.157,ns,False
llama,approximate,0.806,0.774,-4.0,0.705,0.765,0.705,ns,False
llama,double,0.667,0.667,0.0,1.0,1.0,1.0,ns,False
llama,lexical,0.875,0.75,-14.3,0.083,0.279,0.083,.,False
llama,verbal,0.85,0.55,-35.3,0.014,0.043,0.014,*,True
t5-base,absolute,0.625,0.875,40.0,0.157,0.295,0.157,ns,False
t5-base,approximate,0.516,0.484,-6.2,0.705,0.807,0.705,ns,False
t5-base,double,0.467,0.6,28.6,0.317,0.487,0.317,ns,False
t5-base,lexical,0.625,0.542,-13.3,0.414,0.57,0.414,ns,False
t5-base,verbal,0.75,0.6,-20.0,0.18,0.325,0.18,ns,False
