model,modification,original_acc,modified_acc,percentage_diff,p_value,significance,significant
bert-base-cased,temporal_bias,0.870,0.870,0.0,1.000,ns,No
gpt2,temporal_bias,0.850,0.830,-2.4,0.414,ns,No
t5-base,temporal_bias,0.810,0.760,-6.2,0.059,.,No
bert-base-cased,active_to_passive,0.870,0.900,3.4,0.317,ns,No
gpt2,active_to_passive,0.840,0.870,3.6,0.366,ns,No
t5-base,active_to_passive,0.850,0.820,-3.5,0.257,ns,No
bert-base-cased,derivation,0.882,0.882,0.0,1.000,ns,No
gpt2,derivation,0.828,0.849,2.6,0.157,ns,No
t5-base,derivation,0.849,0.839,-1.3,0.317,ns,No
bert-base-cased,negation,0.890,0.670,-24.7,0.000,**,Yes
gpt2,negation,0.880,0.620,-29.5,0.000,**,Yes
t5-base,negation,0.900,0.680,-24.4,0.000,**,Yes
bert-base-cased,sentiment,0.920,0.880,-4.3,0.248,ns,No
gpt2,sentiment,0.870,0.850,-2.3,0.564,ns,No
t5-base,sentiment,0.840,0.810,-3.6,0.366,ns,No
bert-base-cased,dialectal,0.850,0.810,-4.7,0.317,ns,No
gpt2,dialectal,0.840,0.820,-2.4,0.480,ns,No
t5-base,dialectal,0.880,0.840,-4.5,0.157,ns,No
bert-base-cased,grammatical_role,0.853,0.765,-10.3,0.058,.,No
gpt2,grammatical_role,0.838,0.794,-5.3,0.317,ns,No
t5-base,grammatical_role,0.912,0.838,-8.1,0.025,*,Yes
bert-base-cased,punctuation,0.860,0.840,-2.3,0.317,ns,No
gpt2,punctuation,0.900,0.880,-2.2,0.157,ns,No
t5-base,punctuation,0.860,0.860,0.0,1.000,ns,No
bert-base-cased,length_bias,0.840,0.800,-4.8,0.206,ns,No
gpt2,length_bias,0.850,0.830,-2.4,0.414,ns,No
t5-base,length_bias,0.840,0.810,-3.6,0.180,ns,No
bert-base-cased,coordinating_conjunction,0.890,0.880,-1.1,0.655,ns,No
gpt2,coordinating_conjunction,0.900,0.880,-2.2,0.317,ns,No
t5-base,coordinating_conjunction,0.800,0.830,3.7,0.257,ns,No
bert-base-cased,concept_replacement,0.890,0.860,-3.4,0.257,ns,No
gpt2,concept_replacement,0.900,0.850,-5.6,0.025,*,Yes
t5-base,concept_replacement,0.870,0.850,-2.3,0.317,ns,No
bert-base-cased,typo_bias,0.840,0.880,4.8,0.102,ns,No
gpt2,typo_bias,0.890,0.870,-2.2,0.414,ns,No
t5-base,typo_bias,0.840,0.820,-2.4,0.317,ns,No
bert-base-cased,compound_word,0.890,0.850,-4.5,0.102,ns,No
gpt2,compound_word,0.860,0.860,0.0,1.000,ns,No
t5-base,compound_word,0.810,0.820,1.2,0.564,ns,No
bert-base-cased,capitalization,0.927,0.927,0.0,1.000,ns,No
gpt2,capitalization,0.906,0.865,-4.6,0.102,ns,No
t5-base,capitalization,0.792,0.792,0.0,1.000,ns,No
bert-base-cased,discourse,0.885,0.943,6.5,0.025,*,Yes
gpt2,discourse,0.920,0.897,-2.5,0.480,ns,No
t5-base,discourse,0.943,0.931,-1.2,0.564,ns,No
bert-base-cased,geographical_bias,0.826,0.728,-11.8,0.020,*,Yes
gpt2,geographical_bias,0.826,0.728,-11.8,0.020,*,Yes
t5-base,geographical_bias,0.750,0.728,-2.9,0.637,ns,No
bert-base-cased,casual,0.900,0.820,-8.9,0.021,*,Yes
gpt2,casual,0.930,0.850,-8.6,0.011,*,Yes
t5-base,casual,0.820,0.880,7.3,0.083,.,No
