,task,modification,original_res,modified_res,difference,pct_difference,p_value,original_precision,original_recall,modified_precision,modified_recall
8,named_entity_recognition,temporal_bias_100,0.6,0.58,-0.02,-2.52,0.6377152130571356,0.59,0.63,0.57,0.62
2,named_entity_recognition,geographical_bias_100,0.65,0.7,0.04,6.84,0.7592359667826432,0.63,0.69,0.69,0.73
11,named_entity_recognition,length_bias_100,0.53,0.58,0.05,9.53,0.29789563276336756,0.52,0.57,0.58,0.62
13,named_entity_recognition,typo_bias_100,0.52,0.56,0.04,7.3,0.8186878891099665,0.51,0.55,0.55,0.58
3,named_entity_recognition,capitalization_100,0.58,0.58,-0.0,-0.79,1.0,0.58,0.61,0.57,0.61
10,named_entity_recognition,punctuation_100,0.54,0.52,-0.02,-3.98,0.653239525072753,0.53,0.56,0.51,0.54
7,named_entity_recognition,derivation_100,0.57,0.57,-0.0,-0.26,0.5752711500935171,0.56,0.59,0.56,0.59
16,named_entity_recognition,compound_word_100,0.58,0.59,0.01,1.79,1.0,0.57,0.6,0.58,0.61
6,named_entity_recognition,active_to_passive_100,0.56,0.59,0.03,5.17,0.5513855761463966,0.56,0.59,0.58,0.63
1,named_entity_recognition,grammatical_role_100,0.65,0.62,-0.03,-5.04,0.7341631583734811,0.63,0.69,0.6,0.65
0,named_entity_recognition,coordinating_conjunction_100,0.63,0.61,-0.01,-2.25,0.15654882510818371,0.59,0.68,0.62,0.63
15,named_entity_recognition,concept_replacement_100,0.58,0.59,0.01,1.24,0.6019012720574639,0.57,0.61,0.58,0.61
14,named_entity_recognition,negation_100,0.55,0.55,-0.0,-0.01,1.0,0.55,0.57,0.55,0.58
4,named_entity_recognition,discourse_100,0.58,0.58,0.0,0.61,0.5768631057488824,0.56,0.61,0.56,0.61
9,named_entity_recognition,sentiment_100,0.59,0.59,-0.01,-1.07,0.642426554438632,0.58,0.63,0.58,0.62
5,named_entity_recognition,casual_100,0.53,0.58,0.05,9.53,0.29789563276336756,0.52,0.57,0.58,0.62
12,named_entity_recognition,dialectal_100,0.54,0.6,0.06,10.61,0.8316225920071834,0.53,0.57,0.57,0.65
17,named_entity_recognition,average,0.58,0.59,0.01,2.16,,0.56,0.61,0.58,0.62
