task,model,modification,rows,effective_rows,metric,metric2
dialogue,claude-3-5-sonnet,active_to_passive_100,100,100,0.93,
dialogue,claude-3-5-sonnet,capitalization_100,96,96,0.96875,
dialogue,claude-3-5-sonnet,casual_100,100,100,0.98,
dialogue,claude-3-5-sonnet,compound_word_100,100,100,0.95,
dialogue,claude-3-5-sonnet,concept_replacement_100,100,100,0.95,
dialogue,claude-3-5-sonnet,coordinating_conjunction_100,100,100,0.95,
dialogue,claude-3-5-sonnet,cot-dialogue,4215,4215,,
dialogue,claude-3-5-sonnet,derivation_100,93,93,0.978494623655914,
dialogue,claude-3-5-sonnet,dialectal_100,106,106,0.8207547169811321,
dialogue,claude-3-5-sonnet,dialogue,4214,4214,,
dialogue,claude-3-5-sonnet,discourse_100,87,87,0.9425287356321839,
dialogue,claude-3-5-sonnet,geographical_bias_100,92,92,0.9021739130434783,
dialogue,claude-3-5-sonnet,grammatical_role_100,68,68,0.9411764705882353,
dialogue,claude-3-5-sonnet,length_bias_100,100,100,0.96,
dialogue,claude-3-5-sonnet,negation_100,100,100,0.7,
dialogue,claude-3-5-sonnet,punctuation_100,100,100,0.96,
dialogue,claude-3-5-sonnet,sentiment_100,100,100,0.95,
dialogue,claude-3-5-sonnet,temporal_bias_100,100,100,0.94,
dialogue,claude-3-5-sonnet,typo_bias_100,100,100,0.96,
dialogue,unknown,unknown,18,18,,
dialogue,deepseek-r1,active_to_passive_100,100,100,0.89,
dialogue,deepseek-r1,capitalization_100,96,96,0.8229166666666666,
dialogue,deepseek-r1,casual_100,100,100,0.84,
dialogue,deepseek-r1,compound_word_100,100,100,0.86,
dialogue,deepseek-r1,concept_replacement_100,100,100,0.85,
dialogue,deepseek-r1,coordinating_conjunction_100,100,100,0.83,
dialogue,deepseek-r1,derivation_100,93,93,0.8387096774193549,
dialogue,deepseek-r1,dialectal_100,106,106,0.7075471698113207,
dialogue,deepseek-r1,dialogue,4216,4216,,
dialogue,deepseek-r1,discourse_100,87,87,0.8620689655172413,
dialogue,deepseek-r1,geographical_bias_100,92,92,0.75,
dialogue,deepseek-r1,grammatical_role_100,68,68,0.7058823529411765,
dialogue,deepseek-r1,length_bias_100,100,100,0.86,
dialogue,deepseek-r1,negation_100,100,100,0.68,
dialogue,deepseek-r1,punctuation_100,100,100,0.91,
dialogue,deepseek-r1,sentiment_100,100,100,0.85,
dialogue,deepseek-r1,temporal_bias_100,100,100,0.87,
dialogue,deepseek-r1,typo_bias_100,100,100,0.0,
dialogue,gpt-5-standard,active_to_passive_100,100,100,0.9,
dialogue,gpt-5-standard,capitalization_100,96,96,0.9479166666666666,
dialogue,gpt-5-standard,casual_100,100,100,0.91,
dialogue,gpt-5-standard,compound_word_100,100,100,0.89,
dialogue,gpt-5-standard,concept_replacement_100,100,100,0.85,
dialogue,gpt-5-standard,coordinating_conjunction_100,100,100,0.89,
dialogue,gpt-5-standard,derivation_100,93,93,0.946236559139785,
dialogue,gpt-5-standard,dialectal_100,106,106,0.7830188679245284,
dialogue,gpt-5-standard,dialogue,4216,4216,,
dialogue,gpt-5-standard,discourse_100,87,87,0.9310344827586207,
dialogue,gpt-5-standard,geographical_bias_100,92,92,0.7717391304347826,
dialogue,gpt-5-standard,grammatical_role_100,68,68,0.8235294117647058,
dialogue,gpt-5-standard,length_bias_100,100,100,0.95,
dialogue,gpt-5-standard,negation_100,100,100,0.77,
dialogue,gpt-5-standard,punctuation_100,100,100,0.96,
dialogue,gpt-5-standard,sentiment_100,100,100,0.88,
dialogue,gpt-5-standard,temporal_bias_100,100,100,0.96,
dialogue,gpt-5-standard,typo_bias_100,100,100,0.93,
dialogue,gpt-5-standard-context-aware,active_to_passive_100,100,100,0.88,
dialogue,gpt-5-standard-context-aware,capitalization_100,96,96,0.9583333333333334,
dialogue,gpt-5-standard-context-aware,casual_100,100,100,0.89,
dialogue,gpt-5-standard-context-aware,compound_word_100,100,100,0.9,
dialogue,gpt-5-standard-context-aware,concept_replacement_100,100,100,0.94,
dialogue,gpt-5-standard-context-aware,coordinating_conjunction_100,100,100,0.92,
dialogue,gpt-5-standard-context-aware,derivation_100,93,93,0.9139784946236559,
dialogue,gpt-5-standard-context-aware,dialectal_100,106,106,0.8113207547169812,
dialogue,gpt-5-standard-context-aware,discourse_100,87,87,0.9540229885057471,
dialogue,gpt-5-standard-context-aware,geographical_bias_100,92,92,0.7608695652173914,
dialogue,gpt-5-standard-context-aware,grammatical_role_100,68,68,0.8088235294117647,
dialogue,gpt-5-standard-context-aware,length_bias_100,100,100,0.95,
dialogue,gpt-5-standard-context-aware,negation_100,100,100,0.72,
dialogue,gpt-5-standard-context-aware,punctuation_100,100,100,0.96,
dialogue,gpt-5-standard-context-aware,sentiment_100,100,100,0.9,
