model,modification,original_acc,modified_acc,percentage_diff,p_value,significance,significant
bert-base-cased,temporal_bias,0.540,0.510,-5.6,0.317,ns,No
gpt2,temporal_bias,0.560,0.540,-3.6,0.317,ns,No
t5-base,temporal_bias,0.600,0.580,-3.3,0.414,ns,No
bert-base-cased,active_to_passive,0.495,0.474,-4.3,0.732,ns,No
gpt2,active_to_passive,0.516,0.547,6.1,0.602,ns,No
t5-base,active_to_passive,0.568,0.684,20.4,0.078,.,No
bert-base-cased,derivation,0.520,0.500,-3.9,0.317,ns,No
gpt2,derivation,0.520,0.510,-2.0,0.564,ns,No
t5-base,derivation,0.520,0.531,2.0,0.655,ns,No
bert-base-cased,negation,0.541,0.510,-5.7,0.549,ns,No
gpt2,negation,0.510,0.500,-2.0,0.835,ns,No
t5-base,negation,0.592,0.571,-3.4,0.683,ns,No
bert-base-cased,sentiment,0.570,0.600,5.3,0.317,ns,No
gpt2,sentiment,0.630,0.570,-9.5,0.083,.,No
t5-base,sentiment,0.640,0.640,0.0,1.000,ns,No
bert-base-cased,dialectal,0.550,0.520,-5.5,0.180,ns,No
gpt2,dialectal,0.530,0.440,-17.0,0.020,*,Yes
t5-base,dialectal,0.580,0.540,-6.9,0.206,ns,No
bert-base-cased,grammatical_role,0.514,0.486,-5.4,0.670,ns,No
gpt2,grammatical_role,0.514,0.458,-10.8,0.371,ns,No
t5-base,grammatical_role,0.556,0.583,5.0,0.593,ns,No
bert-base-cased,punctuation,0.566,0.576,1.8,0.317,ns,No
gpt2,punctuation,0.566,0.556,-1.8,0.705,ns,No
t5-base,punctuation,0.586,0.596,1.7,0.317,ns,No
bert-base-cased,length_bias,0.475,0.525,10.6,0.251,ns,No
gpt2,length_bias,0.465,0.515,10.9,0.197,ns,No
t5-base,length_bias,0.566,0.586,3.6,0.593,ns,No
bert-base-cased,coordinating_conjunction,0.567,0.577,1.8,0.655,ns,No
gpt2,coordinating_conjunction,0.619,0.660,6.7,0.206,ns,No
t5-base,coordinating_conjunction,0.660,0.619,-6.2,0.157,ns,No
bert-base-cased,concept_replacement,0.440,0.420,-4.5,0.480,ns,No
gpt2,concept_replacement,0.420,0.430,2.4,0.564,ns,No
t5-base,concept_replacement,0.540,0.490,-9.3,0.025,*,Yes
bert-base-cased,typo_bias,0.520,0.571,9.8,0.132,ns,No
gpt2,typo_bias,0.551,0.541,-1.9,0.564,ns,No
t5-base,typo_bias,0.633,0.643,1.6,0.705,ns,No
bert-base-cased,compound_word,0.604,0.604,0.0,1.000,ns,No
gpt2,compound_word,0.604,0.583,-3.4,0.317,ns,No
t5-base,compound_word,0.604,0.594,-1.7,0.564,ns,No
bert-base-cased,capitalization,0.535,0.485,-9.4,0.197,ns,No
gpt2,capitalization,0.455,0.414,-8.9,0.285,ns,No
t5-base,capitalization,0.495,0.525,6.1,0.257,ns,No
bert-base-cased,discourse,0.560,0.540,-3.6,0.480,ns,No
gpt2,discourse,0.470,0.430,-8.5,0.102,ns,No
t5-base,discourse,0.530,0.510,-3.8,0.480,ns,No
bert-base-cased,geographical_bias,0.540,0.520,-3.7,0.480,ns,No
gpt2,geographical_bias,0.510,0.470,-7.8,0.285,ns,No
t5-base,geographical_bias,0.540,0.530,-1.9,0.739,ns,No
bert-base-cased,casual,0.550,0.430,-21.8,0.003,**,Yes
gpt2,casual,0.520,0.490,-5.8,0.491,ns,No
t5-base,casual,0.530,0.490,-7.5,0.346,ns,No
