task,model,modification,original_text,modified_text,original_pred,modified_pred,original_correct,modified_correct,performance,original_reasoning,modified_reasoning,original_step_by_step_reasoning,modified_step_by_step_reasoning,file,row_index,original_clusters,modified_clusters
coref,mixtral,active_to_passive_100,The board of directors reviewed the findings of the scientists to determine funding because they are interested in the potential profits for the company.,The findings of the scientists were reviewed by the board of directors to determine funding because they are interested in the potential profits for the company.,0,0,True,True,both_correct,,,,,mixtral-0shot-active_to_passive_100.csv,1,0,0
coref,mixtral,active_to_passive_100,"Enki does not tell Atrahasis directly, but he speaks to him in secret via a reed wall.","Atrahasis is not told directly by Enki, but he is spoken to in secret via a reed wall.",1,1,True,True,both_correct,,,,,mixtral-0shot-active_to_passive_100.csv,2,1,1
coref,mixtral,active_to_passive_100,The employer talked to the employee about being loyal to him.,The employee was talked to by the employer about being loyal to him.,0,0,True,True,both_correct,,,,,mixtral-0shot-active_to_passive_100.csv,3,0,0
coref,mixtral,active_to_passive_100,Michael Phelps was fined by Judge Louis because he was caught with illegal drugs.,A fine was imposed on Michael Phelps by Judge Louis because illegal drugs had been found with him.,0,0,True,True,both_correct,,,,,mixtral-0shot-active_to_passive_100.csv,5,0,0
coref,mixtral,active_to_passive_100,"Shatterstar attempts to kill Arcade, but he only destroys a robotic double.","An attempt is made by Shatterstar to kill Arcade, but a robotic double is only destroyed by him.",1,1,True,True,both_correct,,,,,mixtral-0shot-active_to_passive_100.csv,7,1,1
coref,mixtral,active_to_passive_100,"The team shredded the report, so that it could rewrite a new one.","The report was shredded by the team, so that a new one could be rewritten by it.",0,0,True,True,both_correct,,,,,mixtral-0shot-active_to_passive_100.csv,8,0,0
coref,mixtral,active_to_passive_100,"However, Toyotomi Hideyoshi ordered Koremitsu to be killed when he was thirteen years of age for unknown reasons.","However, Koremitsu was ordered to be killed by Toyotomi Hideyoshi when he was thirteen years of age for unknown reasons.",0,0,True,True,both_correct,,,,,mixtral-0shot-active_to_passive_100.csv,10,0,0
coref,mixtral,active_to_passive_100,Joe raced against Steven because he thought it would be easy.,The race was run by Joe against Steven because he thought it would be easy.,0,0,True,True,both_correct,,,,,mixtral-0shot-active_to_passive_100.csv,11,0,0
coref,mixtral,active_to_passive_100,"Megan accidentally fires a shot that injures Barbara, but she shoots Larry dead.","A shot is accidentally fired by Megan that injures Barbara, but Larry is shot dead by her.",0,0,True,True,both_correct,,,,,mixtral-0shot-active_to_passive_100.csv,12,0,0
coref,mixtral,active_to_passive_100,Battlefield 3 is more fun than Modern Warfare 3 because it is a better game.,Battlefield 3 is considered more fun than Modern Warfare 3 because it is regarded as a better game.,0,0,True,True,both_correct,,,,,mixtral-0shot-active_to_passive_100.csv,15,0,0
coref,mixtral,active_to_passive_100,"Gnumeric was created and developed by Miguel de Icaza, but he has since moved on to other projects.","Gnumeric was created and developed by Miguel de Icaza, but other projects have since been moved on to by him.",1,1,True,True,both_correct,,,,,mixtral-0shot-active_to_passive_100.csv,17,1,1
