model,modification,original_mean_f1,modified_mean_f1,weighted_delta,absolute_change,rate_of_change,unrobustness,p_value,significance,abs_p_value,abs_significance
llama,concept_replacement,56.10009636653235,53.173265027936296,-2.5594607479119857,2.9268313385960525,2.9268313385960525,3.9382904677022323,0.12565229732103522,ns,,n/a
gpt-5-standard-context-aware,geographical_bias,64.40151223888249,69.26428147016382,4.398122064536714,4.862769231281334,4.862769231281334,22.339830168549895,0.06554792721268038,.,,n/a
llama,negation,50.034851957311844,49.231428108433455,-0.6826180739799393,0.8034238488783885,0.8034238488783885,4.57031352485898,0.6871181879796189,ns,,n/a
llama,temporal_bias,57.11519572864109,55.80158870074836,-1.1538406696070502,1.3136070278927292,1.3136070278927292,1.8121560978703837,0.17295491798842066,ns,,n/a
gpt4o,coordinating_conjunction,64.27329501099993,68.98842505399881,4.262549617519587,4.715130042998879,4.715130042998879,9.36856404069519,0.04109531296740256,*,,n/a
llama,grammatical_role,64.08161135659364,63.701302241344756,-0.3435585949316508,0.38030911524888467,0.38030911524888467,5.291903544915594,0.7554236504413918,ns,,n/a
gpt4o,grammatical_role,59.69497389766701,61.74281895756026,1.8184226910392156,2.0478450598932483,2.0478450598932483,8.252403553608373,0.1934645464105179,ns,,n/a
gpt-5-standard-context-aware,compound_word,55.338251579701655,57.834668751221415,2.175659311196269,2.4964171715197594,2.4964171715197594,4.323659696436715,0.11464722720214242,ns,,n/a
llama,discourse,58.55475705256408,57.366485447625806,-1.0501719762489312,1.1882716049382722,1.1882716049382722,3.1635802469135808,0.3946268662430952,ns,,n/a
deepseek-r1-deepseek,temporal_bias,56.49450527924995,54.609247679706634,-1.6514915108222237,1.8852575995433156,1.8852575995433156,10.623186337472053,0.7912514436184217,ns,,n/a
claude,casual,50.49210160254579,49.286524133462905,-1.0266839065303943,1.2055774690828827,1.2055774690828827,4.80616055946188,0.5316330099698869,ns,,n/a
llama,coordinating_conjunction,73.38170936531593,73.62678305301257,0.22860324388255587,0.24507368769664595,0.24507368769664595,7.965604522981573,0.6528272284410972,ns,,n/a
claude,punctuation,45.388888888888886,37.33095238095238,-6.675797141134817,8.057936507936503,8.057936507936503,9.124603174603173,0.0006710874775375874,***,,n/a
gpt-5-standard-context-aware,discourse,56.354563548190995,61.02182175711587,4.086019085747434,4.667258208924878,4.667258208924878,7.281795823462492,0.026025809156207353,*,,n/a
claude,sentiment,54.54346015321625,51.57762291908633,-2.575448061310341,2.9658372341299213,2.9658372341299213,3.146505707481317,0.017153601700200603,*,,n/a
claude,geographical_bias,65.99659471631789,61.51338313103019,-4.078649995772023,4.483211585287698,4.483211585287698,25.9683546621263,0.2847076595931157,ns,,n/a
claude,length_bias,48.2740632484878,43.35164835164835,-4.1439690812015595,4.922414896839449,4.922414896839449,15.704386548376318,0.2576027060322491,ns,,n/a
claude,grammatical_role,60.32946658035247,57.998574384116544,-2.075111141341925,2.330892196235922,2.330892196235922,3.535711473344358,0.08528105891328075,.,,n/a
claude,compound_word,51.45039411113282,49.717607973421934,-1.482735312836755,1.7327861377108889,1.7327861377108889,1.7327861377108982,0.10880943004054569,ns,,n/a
llama,geographical_bias,62.561826869785335,63.29898572932629,0.6620827024827491,0.7371588595409548,0.7371588595409548,26.985844342427853,0.9517432157046812,ns,,n/a
gpt4o,geographical_bias,64.27701799674118,69.1777721189486,4.4304182623128785,4.900754122207417,4.900754122207417,22.330988247943267,0.06506135663096013,.,,n/a
deepseek-r1-deepseek,derivation,52.82965447927085,50.681874722795435,-1.8501809989538307,2.1477797564754155,2.1477797564754155,8.165723165723167,0.3125762532392723,ns,,n/a
gpt-5-standard,derivation,58.2535542509967,58.4671892472404,0.18856732517111896,0.21363499624369808,0.21363499624369808,9.531016487538226,0.9498828159352102,ns,,n/a
gpt4o,capitalization,55.64769968593499,55.06068669892199,-0.5123000921364157,0.5870129870129972,0.5870129870129972,11.325108225108224,0.7260075904591834,ns,,n/a
claude,capitalization,60.676704014939304,56.44365079365079,-3.773813471609457,4.233053221288515,4.233053221288515,8.899719887955182,0.0791826825796808,.,,n/a
llama,punctuation,53.95032861874968,47.38113669955776,-5.688900804423015,6.569191919191923,6.569191919191923,7.930808080808081,0.002950756748777254,**,,n/a
deepseek-r1-deepseek,sentiment,55.1092809629395,55.36514975539365,0.2227625363980019,0.2558687924541516,0.2558687924541516,13.953706636633466,0.9672864413247798,ns,,n/a
