,original_text,modified_text,modified_pronoun,modified_candidates,modified_label,modified_pred,original_pred,original_label
0,The cat was afraid of the dog because it was timid.,The cat was afraid of the friendly dog because it was timid.,it,"0: The cat, 1: the friendly dog",0,0,0,0
1,"The Samurais respected honor while pirates have a disregard for honor, since they are only interested in increasing their wealth.","The Samurais respected honor while pirates have a shameful disregard for honor, since they are only interested in increasing their wealth.",they,"0: The Samurais, 1: pirates",1,1,1,1
2,John fired Bill because he was incompetent.,John reluctantly fired Bill because he was incompetent.,he,"0: John, 1: Bill",1,1,1,1
3,Battlefield 3 is more fun than Modern Warfare 3 because it is a better game.,Battlefield 3 is more fun than Modern Warfare 3 because it is a disappointing game.,it,"0: Battlefield 3, 1: Modern Warfare 3",1,1,0,1
4,The chimpanzee could not use Linux because it was an animal.,The frustrated chimpanzee could not use Linux because it was an animal.,it,"0: The frustrated chimpanzee, 1: Linux",0,0,0,0
5,"James occasionally visits Archie, but he starts to take a fancy to local school headteacher Katrina Finlay.","James occasionally visits Archie, but he starts to take a begrudging fancy to local school headteacher Katrina Finlay.",he,"0: James, 1: Archie",1,0,0,1
6,"Tina is scared, but Emma comes after her and protects herself with a gun.","Tina is scared, but Emma comes after her and courageously protects herself with a gun.",her,"0: Tina, 1: Emma",1,0,0,1
7,John called Bill because he was a good listener.,John called Bill because he was always such a good listener.,he,"0: John, 1: Bill",1,1,1,1
8,The man shot his friend and he died.,The man shot his friend and he tragically died.,he,"0: The man, 1: his friend",1,1,1,1
9,South Korea does not like North Korea because they are constantly threatening their peace.,South Korea does not like North Korea because they are maliciously threatening their peace.,they,"0: South Korea, 1: North Korea",1,1,1,1
10,"Anna tries again to live with Karla, but she can not get Vronsky out of her head.","Anna tries again to live with Karla, but she can not get the charming Vronsky out of her head.",her,"0: Anna, 1: Karla",0,0,0,0
11,Trick Or Treaters are celebrating the holiday earlier during the day at Church since they are encouraged to do it during the day and among friends for safety reasons.,Trick Or Treaters are joyfully celebrating the holiday earlier during the day at Church since they are encouraged to do it during the day and among friends for safety reasons.,they,"0: Trick Or Treaters, 1: Church",0,0,0,0
12,"When Saul realizes where Javadi is going, he immediately sends Carrie and Quinn there to intercept him.","When Saul eagerly realizes where Javadi is going, he immediately sends Carrie and Quinn there to intercept him.",he,"0: Saul, 1: Javadi",0,0,0,0
13,The mother bear attacked Karen because she had gotten too close to her cub.,The mother bear attacked Karen because she had joyfully gotten too close to her cub.,she,"0: The mother bear, 1: Karen",1,1,1,1
