model,modification,original_acc,modified_acc,weighted_delta,absolute_change,rate_of_change,unrobustness,p_value,significance,abs_p_value,abs_significance,total_samples
gpt-5-standard-context-aware,geographical_bias,97.0,94.0,-2.980157601399367,3.0,3.0,3.0,0.08326451666355039,.,,n/a,100
gpt4o,concept_replacement,98.0,97.0,-0.9956130378462474,1.0,1.0,1.0,0.31731050786291415,ns,,n/a,100
gpt4o,negation,94.0,85.0,-8.879075341198643,9.0,9.0,15.0,0.020136751550346346,*,,n/a,100
llama,coordinating_conjunction,96.0,98.0,1.9822712330395684,2.0,2.0,4.0,0.31731050786291415,ns,,n/a,100
llama,temporal_bias,95.0,93.0,-1.9777236052888478,2.0,2.0,4.0,0.31731050786291415,ns,,n/a,100
llama,length_bias,95.0,95.0,0.0,0.0,0.0,2.0,1.0,ns,,n/a,100
llama,punctuation,93.0,98.0,4.921207371384837,5.0,5.0,5.0,0.025347318677468256,*,,n/a,100
llama,geographical_bias,94.0,93.0,-0.9865639267998493,1.0,1.0,7.000000000000001,0.7054569861112734,ns,,n/a,100
claude,capitalization,94.0,95.0,0.9865639267998493,1.0,1.0,1.0,0.31731050786291415,ns,,n/a,100
deepseek-r1,casual,99.0,96.0,-2.993452791896325,3.0,3.0,3.0,0.08326451666355039,.,,n/a,100
claude,geographical_bias,96.0,97.0,0.9911356165197842,1.0,1.0,5.0,0.6547208460185769,ns,,n/a,100
llama,casual,97.0,93.0,-3.9735434685324895,4.0,4.0,6.0,0.10247043485974945,ns,,n/a,100
gpt4o,active_to_passive,96.0,96.0,0.0,0.0,0.0,2.0,1.0,ns,,n/a,100
llama,concept_replacement,98.0,95.0,-2.986839113538742,3.0,3.0,5.0,0.17971249487899976,ns,,n/a,100
gpt-5-standard,coordinating_conjunction,98.0,99.0,0.9956130378462474,1.0,1.0,1.0,0.31731050786291415,ns,,n/a,100
llama,active_to_passive,93.0,95.0,1.968482948553935,2.0,2.0,6.0,0.4142161782425253,ns,,n/a,100
gpt-5-standard-context-aware,coordinating_conjunction,99.0,98.0,-0.997817597298775,1.0,1.0,1.0,0.31731050786291415,ns,,n/a,100
gpt-5-standard-context-aware,active_to_passive,96.0,97.0,0.9911356165197842,1.0,1.0,1.0,0.31731050786291415,ns,,n/a,100
deepseek-r1,temporal_bias,97.0,98.0,0.9933858671331224,1.0,1.0,1.0,0.31731050786291415,ns,,n/a,100
deepseek-r1,concept_replacement,97.0,98.0,0.9933858671331224,1.0,1.0,1.0,0.31731050786291415,ns,,n/a,100
gpt-5-standard,punctuation,97.0,96.0,-0.9933858671331224,1.0,1.0,1.0,0.31731050786291415,ns,,n/a,100
gpt4o,geographical_bias,96.0,95.0,-0.9911356165197842,1.0,1.0,5.0,0.6547208460185769,ns,,n/a,100
claude,temporal_bias,97.0,99.0,1.9867717342662448,2.0,2.0,2.0,0.15729920705028505,ns,,n/a,100
gpt-5-standard,length_bias,98.0,98.0,0.0,0.0,0.0,0.0,1.0,ns,,n/a,100
gpt-5-standard-context-aware,casual,99.0,95.0,-3.9912703891951,4.0,4.0,4.0,0.045500263896358396,*,,n/a,100
deepseek-r1,negation,98.0,89.0,-8.960517340616226,9.0,9.0,9.0,0.002699796063260186,**,,n/a,100
gpt-5-standard-context-aware,temporal_bias,98.0,97.0,-0.9956130378462474,1.0,1.0,1.0,0.31731050786291415,ns,,n/a,100
gpt4o,temporal_bias,97.0,98.0,0.9933858671331224,1.0,1.0,1.0,0.31731050786291415,ns,,n/a,100
claude,concept_replacement,98.0,98.0,0.0,0.0,0.0,0.0,1.0,ns,,n/a,100
claude,active_to_passive,97.0,97.0,0.0,0.0,0.0,2.0,1.0,ns,,n/a,100
gpt-5-standard,sentiment,98.0,99.0,0.9956130378462474,1.0,1.0,1.0,0.31731050786291415,ns,,n/a,100
